Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CCs	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
CKCH62AA	Engine Part	Crankshaft	236+ *O16 DIESEL 2PC.SEAL +245	Chevrolet		6.2L														D					Call for inventory	50
CKCH65AA	Engine Part	Crankshaft	592 *O16 6.2/6.5L 1PC.DIESEL	Chevrolet		6.5L														D					Call for inventory	125
CKCH66BA	Engine Part	Crankshaft	529+ *O16 400 CID 2PC.	Chevrolet		6.6L														C					Call for inventory	100
CKCH66DA	Engine Part	Crankshaft	*O32 DURAMAX 6600 DIESEL	Chevrolet		6.6L																			Call for inventory	150
CKCH70AB	Engine Part	Crankshaft	189+ *O16 427 CID 1 PC.	Chevrolet		7.0L														FI					Call for inventory	100
CKCH74AA	Engine Part	Crankshaft	039+ *O16 454 CID 2 PC.CAST	Chevrolet		7.4L														C					Call for inventory	175
CKCH74AB	Engine Part	Crankshaft	521+ *016 454 CID 2 PC.STEEL	Chevrolet		7.4L														C					Call for inventory	200
CKCH74AC	Engine Part	Crankshaft	188A *O16 454 CID 1 PC.	Chevrolet		7.4L														FI					Call for inventory	150
CKCH74AD	Engine Part	Crankshaft	044 *O16 454 CID 1PC.STEEL	Chevrolet		7.4L														FI					Call for inventory	200
CKCH81AA	Engine Part	Crankshaft	"""430 *O16 P/U AT REAR,6 BOLT"""	Chevrolet		8.1L														FI					Call for inventory	150
CKCU59A	Engine Part	Crankshaft	*--- CUMMINS 5.9L DIESEL	"Cummins, Chrysler"		5.9L																			Call for inventory	250
CKCU95A	Engine Part	Crankshaft	*--- CUMMINS	"Cummins, Chrysler"		9.5L																			Call for inventory	250
CKDA16A	Engine Part	Crankshaft	*D16 DAEWOO MAYBE PONTIAC	Daewoo		1.6L														FI					Call for inventory	50
CKDC20A	Engine Part	Crankshaft	755+ *-16 NEON + +721	"Dodge, Chrysler"		2.0L														FI					Call for inventory	50
CKDC20C	Engine Part	Crankshaft	106 *D16 8BOLT P/U AT REAR	"Dodge, Chrysler"		2.0L														FI					Call for inventory	75
CKDC22A	Engine Part	Crankshaft	738+ *S08 6 BOLT FLANGE +990	"Dodge, Chrysler"		2.2L														C					Call for inventory	30
CKDC22B	Engine Part	Crankshaft	"""830+ *S08 8 BT.FL.+990 .965""""DP"""	"Dodge, Chrysler"		2.2L																			Call for inventory	25
CKDC22C	Engine Part	Crankshaft	"""814+ *S08 STEEL,2.2L DCI4"""	"Dodge, Chrysler"		2.2L														FI					Call for inventory	75
CKDC22D	Engine Part	Crankshaft	"""493 *S08 I4 1.004"""" NECK"""	"Dodge, Chrysler"		2.2L														FI					Call for inventory	40
CKDC22E	Engine Part	Crankshaft	197 *S08 STEEL	"Dodge, Chrysler"		2.2L														FI					Call for inventory	75
CKDC22F	Engine Part	Crankshaft	"""830+ *S08 DAKOTA 1.3""""DP.PILOT"""	"Dodge, Chrysler"		2.2L														C					Call for inventory	40
CKDC24A	Engine Part	Crankshaft	916 *D16 STRATUS + 8 BOLT	"Dodge, Chrysler"		2.4L														EFI					Call for inventory	50
CKDC24B	Engine Part	Crankshaft	590 *D16 8 BOLT P/U AT REAR	"Dodge, Chrysler"		2.4L														FI					Call for inventory	50
CKDC25A	Engine Part	Crankshaft	"""232 *S08 .865"""" NECK DIA."""	"Dodge, Chrysler"		2.5L														C					Call for inventory	40
CKDC25B	Engine Part	Crankshaft	"""486+ *S08 CAST +176,488"""	"Dodge, Chrysler"		2.5L														FI					Call for inventory	40
CKDC25BS	Engine Part	Crankshaft	176H+*S08 STEEL	"Dodge, Chrysler"		2.5L														FI					Call for inventory	75
CKDC27A	Engine Part	Crankshaft	"""CVU+ *D24 INTREPID+ +DMU,DMP,D"""	"Dodge, Chrysler"		2.7L														FI					Call for inventory	175
CKDC30U	Engine Part	Crankshaft	*--- RENAULT (EAGLE ENGINE)	"Dodge, Chrysler"																					Call for inventory	50
CKDC32A	Engine Part	Crankshaft	44DPF*S24 INTREPID+	"Dodge, Chrysler"		3.2L														FI					Call for inventory	75
