Part_No	Part_Type	Part_Category	Description	Manufacturer	Cylinders	Liters	CID	Stroke	Rod	Main	Front_Seal_Dia	Rear_Seal_Dia	Bore	Connect_Rod_Len	Camshaft	Valves	Casting_No	Trans_Speed	Trans_Type	Notes	Application_Start_Yr	Application_End_Yr	Metal	KB_Product_Code	On_Hand	Price
12A622AK	Transmission Part	Sungear	SUN GEAR/SHELL-WIDE RAT-	"Dodge, Chrysler"															A904+	no notes available yet				600	Call for inventory	30
12A622BK	Transmission Part	Sungear	SUN GEAR/SHELL-LARGER DI	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	11
12A622BKE	Transmission Part	Sungear	SUN GEAR/SHELL-WIDE RAT-	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	30
12A622K1	Transmission Part	Sungear	SUN GEAR/SHELL-28/28T-6.	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	3
12A634	Transmission Part	Center Support	SUPPORT-OUT.SHAFT-W/4BLT	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	2
12A634A	Transmission Part	Center Support	SUPPORT-OUT.SHAFT-W/6BLT	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	18
12A634B	Transmission Part	Center Support	HSNG-O/D PISTON -42RH	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	18
12A634C	Transmission Part	Center Support	HSNG-O/D PSTN-NO GV.HLS-	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	10
12A634N																								600		
12A660			CAM-O/D 1 WAY-INNER	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	16
12A665A			CAM-LOW 1 WAY (12 BOLT)	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	16
12A674A	Transmission Part	Shaft	SHAFT-INTERMEDIATE/OUTPU	"Dodge, Chrysler"															A500	no notes available yet				600	Call for inventory	28
12A678			SHAFT-OUTPUT 2WD	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	30
12A678C			"SHAFT-OUTP-4WD X 12 1/4"""""	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	40
12A678D			"SHAFT-OUTP-4WD X 14 3/4"""""	"Dodge, Chrysler"															A904	no notes available yet				600	Call for inventory	40
12A678E			"SHAFT-OP-2WD-1 1/16"""" KEY"	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	40
12A678EA			"SHAFT-OP-2WD-1 7/16""""KEYW"	"Dodge, Chrysler"															A500+	no notes available yet				600	Call for inventory	40
